"sku","fnsku","asin","商品名","商品グループ","ブランド","フルフィルメント","価格","販売価格","一番長い辺","中間の辺","一番短い辺","長さと周囲の寸法","商品の寸法","商品パッケージの重量","商品重量","通貨","手数料見積り額","販売手数料見積り額(個数あたり)","カテゴリー別成約料見積り額","出荷作業手数料見積り額（個数あたり）","発送重量手数料の見積り額（個数あたり）","配送代行手数料見積り額（個数あたり）"
"MP-Q5QB-4DR8","X0012D1CFB","B0BLKV9T7G","【Smart-Bear】W502 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (S(7-12歳), C)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"7A-1UM9-KFHO","X0012D1CF1","B0BLKW8TLN","【Smart-Bear】W502 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (XS(4-7歳), A)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"IU-VDAV-F134","X0012D18N7","B0BLKVPDPR","【Smart-Bear】W502 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (S(7-12歳), B)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"NK-W0VD-N42D","X0012D18MX","B0BLKV4XT9","【Smart-Bear】W502 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (XS(4-7歳), C)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"S6-VLPP-LUI4","X0012D0GLH","B0BLKRB774","【Smart-Bear】W503 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (XS(4-7歳), ブルー)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"GG-8PU8-I38E","X0012D0GL7","B0BLKRVXVT","【Smart-Bear】W503 スポーツソックス プロ用スキーソックス 子供用 厚手のニット 冬用 登山 遠足 スポーツソックス 男の子 女の子 2足入り (XS(4-7歳), ピンク)","Apparel","Generic","Amazon","1680.00","1680.00","28.0","23.0","3.0","80.0","centimeters","199.99","grams","JPY","520.00","202.00","0.00","--","--","318.00"
"4E-8JAQ-UHTH","X0011523SF","B0B4NVH234","[enbihouse] 【Smart-Bear】T013 キッズ レインコート 男の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (XXXL)","Apparel","enbihouse","Amazon","2580.00","2580.00","27.4","24.6","3.2","83.0","centimeters","210.01","grams","JPY","628.00","310.00","0.00","--","--","318.00"
"T6-G4A1-RR8E","X00111636R","B0B3LR181Y","[enbihouse] 【Smart-Bear】T013 キッズ レインコート 男の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (XXL)","Apparel","enbihouse","Amazon","2580.00","2580.00","29.7","24.2","2.8","83.7","centimeters","199.99","grams","JPY","628.00","310.00","0.00","--","--","318.00"
"57-5UCM-3YDR","X00111636H","B0B3LXFVG9","[enbihouse] 【Smart-Bear】T013 キッズ レインコート 男の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (S)","Apparel","enbihouse","Amazon","2580.00","2580.00","29.9","25.6","2.2","85.5","centimeters","139.98","grams","JPY","628.00","310.00","0.00","--","--","318.00"
"7L-VIH8-AFE4","X001115Y1R","B0B3LRNJ4C","[enbihouse] 【Smart-Bear】T013 キッズ レインコート 男の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (L)","Apparel","enbihouse","Amazon","2580.00","2580.00","29.2","24.3","3.5","84.8","centimeters","199.99","grams","JPY","795.00","310.00","0.00","--","--","485.00"
"T8-L5ZN-T8OW","X001115LN3","B0B3LJ11Q7","[enbihouse] 【Smart-Bear】T013 キッズ レインコート 男の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (M)","Apparel","enbihouse","Amazon","2580.00","2580.00","29.3","24.5","2.3","82.9","centimeters","150.0","grams","JPY","628.00","310.00","0.00","--","--","318.00"
"WJ-Q5ML-D1TD","X001115LMT","B0B3LWL1FQ","[enbihouse] 【Smart-Bear】T013 キッズ レインコート 男の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (XL)","Apparel","enbihouse","Amazon","2580.00","2580.00","28.0","24.3","2.9","82.4","centimeters","190.01","grams","JPY","628.00","310.00","0.00","--","--","318.00"
"MD-6D6Z-EUFT","X0010V0KH1","B0B1VQ33GC","[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ウサギ, L)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.1","24.5","2.3","83.7","centimeters","130.0","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"YO-VMCX-X2PP","X0010V0KGH","B0B1VMTL5F","[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ウサギ, XL)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.0","24.6","2.4","84.0","centimeters","120.02","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"39-62ZM-5VA7","X0010V0F5D","B0B1VR91S8","[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ウサギ, M)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.3","24.6","2.1","83.7","centimeters","130.0","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"US-OH0Y-DZJN","X0010V0F49","B0B1VQRNJR","[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ウサギ, S)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.0","24.6","2.4","84.0","centimeters","120.02","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"CZ-F8XU-0AJY","X0010V0F21","B0B1VPF2MH","[enbihouse] 【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ウサギ, XXL)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.0","24.6","2.4","84.0","centimeters","120.02","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"49-3LU5-0W12","X0010V0625","B0B1VNWCNW","[enbihouse] 【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ピンクウサギ, M)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.3","24.4","3.1","85.3","centimeters","159.98","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"G5-83U4-1ZXA","X0010V061L","B0B1VLRH1X","[enbihouse] 【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ピンクウサギ, S)","Apparel","enbihouse","Amazon","2480.00","2480.00","29.8","24.4","2.7","84.0","centimeters","150.0","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"4J-972F-LZOQ","X0010V061B","B0B1VLLR8D","[enbihouse] 【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ピンクウサギ, L)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.7","24.7","2.5","85.1","centimeters","170.01","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"TK-HDPN-24QO","X0010V0611","B0B1VMNM1H","[enbihouse] 【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (イエローライオン, XL)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.2","24.0","4.0","86.2","centimeters","190.01","grams","JPY","783.00","298.00","0.00","--","--","485.00"
"U5-D45P-VL0B","X0010V060R","B0B1VKZFGV","[enbihouse] 【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ブルー恐竜, XXL)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.0","24.1","2.9","84.0","centimeters","219.99","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"ZP-THGH-ZY7D","X0010V05YT","B0B1VM5KN9","[enbihouse] 【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (イエローライオン, XXL)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.6","24.2","4.0","87.0","centimeters","210.01","grams","JPY","783.00","298.00","0.00","--","--","485.00"
"0W-RCOB-4NRD","X0010V05XF","B0B1VM8X4N","[enbihouse] 【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ブルー恐竜, L)","Apparel","enbihouse","Amazon","2480.00","2480.00","30.2","24.4","3.3","85.6","centimeters","170.01","grams","JPY","616.00","298.00","0.00","--","--","318.00"
"IV-QEFH-STVU","X0010V02NN","B0B1VKD81Q","[enbihouse] 【Smart-Bear】T011 キッズ レインコート 女の子 子供用 レインウェア 男の子 雨具 男女兼用 小学生 レインポンチョ 防水 防風 収納ポーチ付 梅雨対策 通園 通学 入園 (ライムイエローネコ, L)","Apparel","enbihouse","Amazon","2480.00","2480.00","29.6","24.3","2.8","83.8","centimeters","170.01","grams","JPY","616.00","298.00","0.00","--","--","318.00"
