"返品日","注文番号","出品者SKU","ASIN","FNSKU","商品名","数量","FC","商品の状態","理由","lpn","お客様のコメント"
"2022-02-17T14:04:21+09:00","503-0699381-7467064","N7-DJHE-BRRC","B09P8SVSXS","X000ZN76Q3","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","KIX4","販売可","欠陥品・不良品","LPNOS065352904","外袋がビニールテープで無理やりまとめられておりそのテープを外そうとするだけで外袋が破損してしまう。中を確認するもほつれたような糸らしき物が出ていたりととても使える代物では無かったので。"
"2022-02-17T14:04:21+09:00","503-0699381-7467064","N7-DJHE-BRRC","B09P8SVSXS","X000ZN76Q3","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ","1","KIX4","DAMAGED","欠陥品・不良品","LPNOS065352903",
"2022-02-17T10:45:49+09:00","249-3869439-2238234","F4-DJYL-ZFI7","B07RR6Y96L","X000RKIE0V","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の","1","KIX4","欠陥品・不良品","別の商品が届いた","LPNOS065964372","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート Lサイズを注文しました。 商品の袋はLサイズと表記してましたが、商品自体はXLでした。"
"2022-02-16T17:46:15+09:00","503-6101912-2812647","AJ-KDS6-2KPZ","B077TT3FF4","X000R15K4N","【Smart-KM】T001 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピン","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS065873069","丈が短い。"
"2022-02-14T15:58:06+09:00","250-8313258-2079852","74-MTWF-NKK7","B098DYTNQM","X000Y4RQZT","[Smart-Bear] T303 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","販売可","アパレル商品 - サイズが大きすぎる","LPNOS059804429","窮屈との書き込みを見て、大きめを買ったら、かなり大きく歩きづらい為"
"2022-02-14T15:56:01+09:00","249-3221746-5425457","2H-KCMM-7HS3","B089XVC243","X000UXXDI3","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","販売可","アパレル商品 - サイズが小さすぎる","LPNOS062978618","少しきつい"
"2022-02-01T15:19:19+09:00","250-9098848-7883006","Z1-3OLT-QHNT","B089Y1Z47W","X000UXZN1X","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","NRT5","販売可","アパレル商品 - サイズが大きすぎる","LPNOS066011472",
"2022-02-01T10:25:38+09:00","250-0274160-8339019","NR-5Z4P-2YBS","B07RNDMDMY","X000RJN8F3","【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)","1","KIX4","販売可","受取人不明のため配送不可","LPNOS065411589",
"2022-01-31T14:26:20+09:00","250-3114541-5623007","8Q-VTYS-YQ5Z","B07RNDQ5S7","X000RMJ4KD","【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)","1","KIX4","販売可","受取人不明のため配送不可","LPNOS066568425",
"2022-01-27T15:50:59+09:00","250-0217616-1779008","SA-EEPG-BNMR","B07ZDFP7CC","X000SYHR0J","【Smart-Bear】P002 キッズ服 Tシャツ ズボン 男の子 女の子 パジャマ 前開きキッズ 部屋着 寝間着ルームウェア ホ","1","NRT5","販売可","間違ったスタイル/サイズ/色を注文してしまった","LPNOS066218653","外国人の男の子が着用してる写真だったので男児用かと思ったが右前の女の子用だったため。"
"2022-01-27T05:10:53+09:00","249-6695886-4856633","NR-5Z4P-2YBS","B07RNDMDMY","X000RJN8F3","【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)","1","NRT5","DAMAGED","注文間違い","LPNOS062616668",
"2022-01-22T14:30:24+09:00","249-7474690-1891067","FK-SQOE-Y997","B0782N7XDJ","X000WRDZ6R","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)","1","KIX4","販売可","受取人不明のため配送不可","LPNOS065890582",
"2022-01-21T10:43:04+09:00","250-5303963-4912667","NR-5Z4P-2YBS","B07RNDMDMY","X000RJN8F3","【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)","1","KIX4","販売可","受取人不明のため配送不可","LPNOS065411589",
"2022-01-18T09:06:34+09:00","503-6679105-8956614","8Y-B81U-KU22","B0782T4WWX","X000WRDZ71","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, S)","1","NRT5","欠陥品・不良品","欠陥品・不良品","LPNOS066096004","首の部分に茶色い染みがあり人が使用したような感じなので返品します"
"2022-01-16T11:41:14+09:00","250-3269081-4326202","0R-13SI-4BUS","B089WJCGT7","X000UXQ6MN","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・","1","KIX4","販売可","注文間違い","LPNOS065310280","20cmを注文するつもりが、 15cmを注文してしまった。"
"2022-01-14T15:56:06+09:00","250-8996337-6653469","FQ-TZLP-HWK1","B0782RGD4B","X000WRDOQD","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, M)","1","NRT5","販売可","アパレル商品 - サイズが大きすぎる","LPNOS066225870","口コミより小さい"
