"ASIN","fnsku","商品名","Fulfillment center","Country code","Longest side","Median side","Shortest side","Measurement units","weight","Weight units","Item volume","Volume units","Product size tier","Average quantity on hand","Average quantity pending removal","Total item volume (est.)","Month of charge","Storage rate","通貨","Monthly storage fee (est.)","category","Total Incentive Amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B077V4KGYG","X000RI8KQV","【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ペンギン, S)","KIX4","JP","29.39","25.0","1.39","centimeters","0.22","kilograms","0.001","cubic meters","Standard-Size","1.0","0.0","0.001","2023-08","2818.0","JPY","2.8773","Clothing","0.0","--","0.0"
"B07RR71B1P","X000RJ3IWL","[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (L, グレー)","KIX4","JP","24.19","24.0","3.6","centimeters","0.14","kilograms","0.0021","cubic meters","Standard-Size","1.0","0.0","0.0021","2023-08","2818.0","JPY","5.8882","Clothing","0.0","--","0.0"
"B07RR8Y437","X000RJ3IWV","[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (M, ブルー)","KIX4","JP","27.6","25.4","2.8","centimeters","0.1","kilograms","0.002","cubic meters","Standard-Size","2.61","0.1","0.0049","2023-08","2818.0","JPY","13.9144","Clothing","0.0","--","0.0"
"B07RP5F6PR","X000RJ3LZP","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, グレー)","KIX4","JP","28.4","24.2","2.2","centimeters","0.28","kilograms","0.0015","cubic meters","Standard-Size","1.0","0.0","0.0015","2023-08","2818.0","JPY","4.2598","Clothing","0.0","--","0.0"
"B07RQ5TWY8","X000RJ3N2B","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ピンク)","KIX4","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","4.35","0.16","0.0072","2023-08","2818.0","JPY","20.3409","Clothing","0.0","--","0.0"
"B07RQ5DN1M","X000RJ3N2L","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (S, グリーン)","KIX4","JP","28.4","24.2","2.2","centimeters","0.28","kilograms","0.0015","cubic meters","Standard-Size","2.0","0.0","0.003","2023-08","2818.0","JPY","8.5196","Clothing","0.0","--","0.0"
"B07RSBVWBK","X000RJ3N2V","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXL, ブルー)","KIX4","JP","28.4","24.2","2.2","centimeters","0.28","kilograms","0.0015","cubic meters","Standard-Size","0.87","0.03","0.0013","2023-08","2818.0","JPY","3.5727","Clothing","0.0","--","0.0"
"B07RS9GFCN","X000RJ3N3F","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ブルー)","KIX4","JP","28.4","24.2","2.2","centimeters","0.28","kilograms","0.0015","cubic meters","Standard-Size","1.0","0.0","0.0015","2023-08","2818.0","JPY","4.2598","Clothing","0.0","--","0.0"
"B07RP5Y4R4","X000RJ3N3P","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, ブルー)","KIX4","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","2.0","0.0","0.0034","2023-08","2818.0","JPY","9.7011","Clothing","0.0","--","0.0"
"B07RP5RVVV","X000RJ3N49","[Smart-Bear] T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (M, ピンク)","KIX4","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","2.0","0.0","0.0034","2023-08","2818.0","JPY","9.7011","Clothing","0.0","--","0.0"
"B07RTHQ2KZ","X000RJ3OBB","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ブルー, XL)","KIX4","JP","29.39","24.0","2.39","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2023-08","2818.0","JPY","4.7494","Clothing","0.0","--","0.0"
"B07RP5YSYZ","X000RJ3OC5","[enbihouse] 【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の女王 Frozen (ピンク, M)","KIX4","JP","29.39","24.0","2.39","centimeters","0.26","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2023-08","2818.0","JPY","4.7494","Clothing","0.0","--","0.0"
"B07RQDTBS5","X000RJ6QE3","[Smart-Bear] W002 子供の靴下 女の子 ソックス メッシュ素材 可愛い お姫様 学生用 通園通学 5足セット (B, m)","KIX4","JP","21.4","8.8","4.2","centimeters","0.18","kilograms","8.0E-4","cubic meters","Standard-Size","4.0","0.0","0.0032","2023-08","2818.0","JPY","8.9133","Clothing","0.0","--","0.0"
"B07RRJ5TNV","X000RJ6T1D","[Smart-Bear] W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (M)","KIX4","JP","21.6","8.8","4.59","centimeters","0.16","kilograms","9.0E-4","cubic meters","Standard-Size","6.32","0.0","0.0055","2023-08","2818.0","JPY","15.5409","Clothing","0.0","--","0.0"
"B07RTK9R3K","X000RJ6VAR","【Smart-Bear】W010 子供の靴下 キッズ 子供 くつした メッシュ 通気防臭 男女兼用 男の子 女の子 可愛い 5足セット (S)","KIX4","JP","17.0","7.4","4.2","centimeters","0.18","kilograms","5.0E-4","cubic meters","Standard-Size","1.0","0.0","5.0E-4","2023-08","2818.0","JPY","1.4885","Clothing","0.0","--","0.0"
"B077VVKF43","X000RJJ4E7","【Smart-KM】T007 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 透明 クリア (ブラック, L)","KIX4","JP","27.18","20.32","1.52","centimeters","0.2","kilograms","8.0E-4","cubic meters","Standard-Size","5.0","0.0","0.0042","2023-08","2818.0","JPY","11.8255","Clothing","0.0","--","0.0"
"B07RTH7YYW","X000RJJNMP","[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XL, ブルー)","KIX4","JP","24.19","24.0","3.6","centimeters","0.14","kilograms","0.0021","cubic meters","Standard-Size","2.0","0.0","0.0042","2023-08","2818.0","JPY","11.7764","Clothing","0.0","--","0.0"
"B07RQ5N9DN","X000RJJNMZ","[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XL, ピンク)","KIX4","JP","24.19","24.0","3.6","centimeters","0.14","kilograms","0.0021","cubic meters","Standard-Size","3.48","0.13","0.007","2023-08","2818.0","JPY","19.7539","Clothing","0.0","--","0.0"
"B07RP531NV","X000RJJNNJ","[Smart-Bear] T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (XL, グレー)","KIX4","JP","23.62","11.43","4.0","centimeters","0.2","kilograms","0.0011","cubic meters","Standard-Size","2.74","0.06","0.0029","2023-08","2818.0","JPY","8.1458","Clothing","0.0","--","0.0"
