"商品","ステータス","タイプ","スポンサープロダクト広告の利用資格","売上(JPY)","ROAS","コンバージョン率","インプレッション数","クリック数","クリック率  (CTR）","広告費(JPY)","平均クリック単価 (CPC)(JPY)","注文","ACOS","新規顧客の注文","新規顧客の注文比率","新規顧客の売上(JPY)","新規顧客の売上比率","ビューアブルインプレッション"
"B07K5SL6NR-OJ-Q5O2-R6XK","","","利用資格あり","0.00","0.00","0.0000","55","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5SMQ74-NX-M2SX-8JR7","","","利用資格あり","0.00","0.00","0.0000","109","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K5SNL5L-94-5N7D-MKR8","","","利用資格あり","0.00","0.00","0.0000","100","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN3F944-PX-L66W-SATD","","","利用資格あり","0.00","0.00","0.0000","12","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN3QRFD-V6-3DBB-5J62","","","利用資格あり","0.00","0.00","0.0000","39","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN3R4CY-FN-VIR3-GDHQ","","","利用資格あり","0.00","0.00","0.0000","39","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN3T64S-HU-4C3A-YQ59","","","利用資格あり","0.00","0.00","0.0000","71","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN46T9J-LU-ZKNB-TZVQ","","","利用資格あり","0.00","0.00","0.0000","88","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN4L7SQ-MD-TJTP-5QQW","","","利用資格あり","0.00","0.00","0.0000","78","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN4V5RG-J6-656F-SFOE","","","利用資格あり","0.00","0.00","0.0000","56","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN54HFC-TL-QZQI-IY15","","","利用資格あり","0.00","0.00","0.0000","2","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RN59781-YB-YX5P-2VQT","","","利用資格あり","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
