"Amazon 出品サービス、フルフィルメント by Amazon (FBA) "
"指定のない場合、単位は円"
"定義："
"売上税徴収額：商品売上、配送料、ギフト包装料として購入者から徴収した売上税"
"販売手数料：カテゴリー成約料と販売手数料が含まれます。"
"トランザクションに関するその他の手数料：FBA 配送料のチャージバックまたは、出品者出荷の配送料にかかる手数料"
"その他：注文以外に関する取引金額。詳しくは、各注文番号のトランザクションの種類と、説明の各項目をご覧ください。"
"日付/時間","決済番号","トランザクションの種類","注文番号","SKU","説明","数量","Amazon 出品サービス","フルフィルメント","市町村","都道府県","郵便番号","税金徴収型","商品売上","商品の売上税","配送料","配送料の税金","ギフト包装手数料","ギフト包装クレジットの税金","Amazonポイントの費用","プロモーション割引額","プロモーション割引の税金","源泉徴収税を伴うマーケットプレイス","手数料","FBA 手数料","トランザクションに関するその他の手数料","その他","合計"
"2022/10/02 20:24:44 JST","11238059733","注文","249-2485286-0395827","JQ-MLRE-AH9L","【Smart-KM】S017 網タイツ レース ガーターストッキング ニーハイ セクシー ストッキング レディース 仮装 2点セ?","1","amazon.jp","Amazon","","福井県","915-0845","","635.00","63.00","0","0","0","0","-6.00","0","0","0","-91.00","-205.00","0","0","396.00"
"2022/10/03 0:06:25 JST","11238059733","注文","250-0250054-9975047","TW-6NA5-U2QX","【Smart-KM】B042 iPhone 7/iPhone 7 Plus/iPhone 8/iPhone 8 Plus/iPhone X/iPhone Xs/iPhone Xs Max/iPhone XR レンズ保護リング アルミ合金 ?","1","amazon.jp","出品者","","千葉県","271-0076","","389.00","39.00","0","0","0","0","0","0","0","0","-47.00","0","0","0","381.00"
"2022/10/03 0:10:05 JST","11238059733","注文","250-1599861-2231807","QM-VZZN-MPA1","【Smart-KM】 E015 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 星型 ☆型","1","amazon.jp","出品者","","東京都","175-0082","","362.00","36.00","0","0","0","0","0","0","0","0","-44.00","0","0","0","354.00"
"2022/10/03 9:49:24 JST","11238059733","注文","503-1714765-6317406","GY-5YV1-YMBZ","【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 ?","1","amazon.jp","Amazon","","東京都","116-0012","","1,982.00","198.00","0","0","0","0","-20.00","0","0","0","-285.00","-318.00","0","0","1,557.00"
"2022/10/03 9:53:54 JST","11238059733","注文","250-9367316-0480669","L7-WXI9-AW9P","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の?","1","amazon.jp","Amazon","","神奈川県","230-0074","","2,164.00","216.00","373.00","37.00","0","0","0","-373.00","-37.00","0","-315.00","-318.00","0","0","1,747.00"
"2022/10/03 10:31:28 JST","11238059733","注文","503-5475264-6194248","FK-SQOE-Y997","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)","1","amazon.jp","Amazon","","神奈川県","230-0073","","1,618.00","162.00","373.00","37.00","0","0","-16.00","-373.00","-37.00","0","-232.00","-318.00","0","0","1,214.00"
"2022/10/03 10:46:41 JST","11238059733","注文","250-3265305-1564621","CZ-F8XU-0AJY","【Smart-Bear】T012 キッズ レインコート 女の子 子供用 レインウェア 雨具 小学生 レインポンチョ 防水 防風 収納?","1","amazon.jp","Amazon","","愛知県","444-0328","","2,255.00","225.00","0","0","0","0","-23.00","0","0","0","-325.00","-1,100.00","0","0","1,032.00"
"2022/10/03 10:54:19 JST","11238059733","注文","249-5719082-9131007","FK-SQOE-Y997","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, S)","1","amazon.jp","Amazon","","神奈川県","242-0007","","1,618.00","162.00","0","0","0","0","-16.00","0","0","0","-232.00","-318.00","0","0","1,214.00"
"2022/10/03 10:58:02 JST","11238059733","注文","250-0154467-7121448","EV-5CEC-EMJP","[Smart-Bear] T306 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・?","1","amazon.jp","Amazon","","広島県","733-0006","","2,527.00","253.00","0","0","0","0","-25.00","0","0","0","-363.00","-434.00","0","0","1,958.00"
"2022/10/03 11:50:46 JST","11238059733","注文","249-3430406-1721438","FC-5PIA-1JUZ","【Smart-Bear】T004 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ピンク, XL)","1","amazon.jp","Amazon","","埼玉県","359-1145","","1,618.00","162.00","0","0","0","0","-16.00","0","0","0","-232.00","-318.00","0","0","1,214.00"
"2022/10/03 12:02:01 JST","11238059733","注文","250-0311737-8654206","O6-48G1-BEO9","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー?","1","amazon.jp","出品者","","静岡県","430-0856","","1,164.00","116.00","0","0","0","0","0","0","0","0","-634.00","0","0","0","646.00"
"2022/10/03 12:10:41 JST","11238059733","注文","250-0138579-1317419","6H-040M-0Z6H","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー?","1","amazon.jp","出品者","","神奈川県","239-0814","","1,164.00","116.00","0","0","0","0","0","0","0","0","-634.00","0","0","0","646.00"
"2022/10/03 12:27:43 JST","11238059733","注文","250-3739025-3995069","O6-48G1-BEO9","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー?","1","amazon.jp","出品者","","千葉県","296-0041","","1,164.00","116.00","0","0","0","0","0","0","0","0","-634.00","0","0","0","646.00"
"2022/10/03 13:40:59 JST","11238059733","注文","249-4629978-2427822","O6-48G1-BEO9","【Smart-KM】O021 Fintie Kindle Paperwhite ケース 超薄 軽量 保護カバー オートスリープ機能付き （2012, 2013, 2015,2016バー?","1","amazon.jp","出品者","","沖縄県","904-2153","","1,164.00","116.00","0","0","0","0","0","0","0","0","-634.00","0","0","0","646.00"
"2022/10/03 17:55:37 JST","11238059733","注文","503-8058463-2566263","FN-VIR3-GDHQ","【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 ?","1","amazon.jp","Amazon","","千葉県","277-0005","","1,982.00","198.00","0","0","0","0","-20.00","0","0","0","-285.00","-318.00","0","0","1,557.00"
"2022/10/03 17:57:11 JST","11238059733","注文","249-3489075-8492645","SX-5OGR-3BLH","[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・?","1","amazon.jp","Amazon","","Kanagawa-ken","238-0054","","2,345.00","235.00","186.00","19.00","0","0","-24.00","-186.00","-19.00","0","-337.00","-434.00","0","0","1,785.00"
"2022/10/03 18:06:42 JST","11238059733","注文","503-6801998-3495039","8Q-VTYS-YQ5Z","【Smart-Bear】W005 子供の靴下 男の子 女の子 ソックス 通園 通学 抗菌 通気性 5足セット (L)","1","amazon.jp","Amazon","","福岡県","804-0012","","1,436.00","144.00","0","0","0","0","-15.00","0","0","0","-207.00","-434.00","0","0","924.00"
"2022/10/03 18:19:02 JST","11238059733","注文","250-4173086-3798219","NR-5Z4P-2YBS","【Smart-Bear】W003 子供の靴下 立体 可愛い動物柄 通学 通園 キッズ ソックス 女の子 5足セット (M)","1","amazon.jp","Amazon","","石川県","927-1451","","1,255.00","125.00","0","0","0","0","-13.00","0","0","0","-180.00","-434.00","0","0","753.00"
"2022/10/03 19:04:41 JST","11238059733","注文","249-6066977-2136630","DU-P06F-VJBB","【Smart-Bear】T010 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 雪の?","1","amazon.jp","Amazon","","東京都","184-0015","","2,164.00","216.00","0","0","0","0","0","0","0","0","-315.00","-318.00","0","0","1,747.00"
"2022/10/04 0:08:31 JST","11238059733","注文","503-6823593-7957451","E4-9GU1-TRTH","【Smart-KM】A131 サムスンギャラクシー S8 S8+ S8 Plus対応 ケース 透明 クリアケース スマホケース 高機能 シリコン ?","2","amazon.jp","出品者","","大阪府","545-0053","","542.00","54.00","0","0","0","0","-5.00","0","0","0","-66.00","0","0","0","525.00"
"2022/10/04 0:09:00 JST","11238059733","注文","249-8818038-6076652","7Y-BBJC-HSZ5","【Smart-KM】 E015 スマートフォン用 スマホリング 持ちやすい リングスタンド ホールドリング 落下防止 星型 ☆型","1","amazon.jp","出品者","","三重県","510-1233","","362.00","36.00","0","0","0","0","0","0","0","0","-44.00","0","0","0","354.00"
