"ASIN","fnsku","商品名","Fulfillment center","Country code","Longest side","Median side","Shortest side","Measurement units","weight","Weight units","Item volume","Volume units","Product size tier","Average quantity on hand","Average quantity pending removal","Total item volume (est.)","Month of charge","Storage rate","通貨","Monthly storage fee (est.)","category","Total Incentive Amount","breakdown_incentive_fee_amount","average_quantity_customer_orders"
"B077TZ3C52","X000RI7UBR","【Smart-KM】T001 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ブルー, XXL)","KIX4","JP","30.39","24.39","1.6","centimeters","0.22","kilograms","0.0012","cubic meters","Standard-Size","1.0","0.0","0.0012","2022-09","2818.0","JPY","3.3415","Clothing","0.0","--","0.0"
"B07RSBWQL8","X000RI8J0D","【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (S, グレー)","KIX4","JP","24.19","24.0","3.6","centimeters","0.14","kilograms","0.0021","cubic meters","Standard-Size","4.0","0.0","0.0084","2022-09","2818.0","JPY","23.5553","Clothing","0.0","--","0.0"
"B077TYM9G3","X000RJ2QF1","【Smart-KM】T001 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (イエロー, XXL)","KIX4","JP","30.39","24.39","1.6","centimeters","0.22","kilograms","0.0012","cubic meters","Standard-Size","2.0","0.0","0.0024","2022-09","2818.0","JPY","6.683","Clothing","0.0","--","0.0"
"B077TZ52JJ","X000RJ3G41","【Smart-KM】T002 韓国enbihouseレインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 (ペンギン, XL)","KIX4","JP","29.39","25.0","1.39","centimeters","0.22","kilograms","0.001","cubic meters","Standard-Size","1.47","0.0","0.0015","2022-09","2818.0","JPY","4.2205","Clothing","0.0","--","0.0"
"B07RR8Y437","X000RJ3IWV","【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (M, ブルー)","KIX4","JP","28.2","23.6","2.6","centimeters","0.1","kilograms","0.0017","cubic meters","Standard-Size","2.0","0.0","0.0035","2022-09","2818.0","JPY","9.7509","Clothing","0.0","--","0.0"
"B07RP5F6PR","X000RJ3LZP","【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (L, グレー)","KIX4","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2022-09","2818.0","JPY","4.8511","Clothing","0.0","--","0.0"
"B07RVJTTB5","X000RJ3M0T","【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XXXL, グレー)","KIX4","JP","29.46","24.13","1.78","centimeters","0.28","kilograms","0.0013","cubic meters","Standard-Size","1.0","0.0","0.0013","2022-09","2818.0","JPY","3.5652","Clothing","0.0","--","0.0"
"B07RQ4D55K","X000RJ3M13","【Smart-Bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, グレー)","KIX4","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","1.0","0.0","0.0017","2022-09","2818.0","JPY","4.8511","Clothing","0.0","--","0.0"
"B07RN3R4CY","X000RJ3M1D","【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (XL, ピンク)","KIX4","JP","29.56","24.37","2.39","centimeters","0.38","kilograms","0.0017","cubic meters","Standard-Size","3.8","0.0","0.0065","2022-09","2818.0","JPY","18.2723","Clothing","0.0","--","0.03"
"B07RN5DSBD","X000RJ3N21","【Smart-bear】T008 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 フクロウ 梅花 熊 パイナップル (S, ピンク)","KIX4","JP","29.46","24.64","1.27","centimeters","0.24","kilograms","9.0E-4","cubic meters","Standard-Size","3.0","0.0","0.0028","2022-09","2818.0","JPY","7.7925","Clothing","0.0","--","0.0"
